主播昵称,用户id,直播分类,房间名,直播热度,直播间地址,主播图片地址
会壁咚的妙龄少女,1716547,英雄联盟,艾欧尼亚：夏天的风正轻轻吹过,329238,https://www.douyu.com/10559746,https://rpic.douyucdn.cn/live-cover/roomCove_coverUpdate_2022-05-12_7f05e9a61664543af18559390254f138.jpg/webpdy2
灰灰小法师OvO,76664906,英雄联盟,最强小法：无敌团战凯瑞教学,324850,https://www.douyu.com/2361531,https://rpic.douyucdn.cn/asrpic/220818/2361531_1705.png/webpdy2
林子文i,374965969,英雄联盟,峡谷前十最高分打野教学局！！把把c,321573,https://www.douyu.com/9063322,https://rpic.douyucdn.cn/live-cover/roomCove_coverUpdate_2022-08-18_6ee1d1a8681cdbf274df9fcaf63f554c.jpg/webpdy2
风中追风Fzz1,1722115,英雄联盟,卷毛：又是努力上分的一天！,312944,https://www.douyu.com/60062,https://rpic.douyucdn.cn/asrpic/220818/60062_1704.png/webpdy2
神威仙大将军,25952983,英雄联盟,恕瑞玛老艺术家,303766,https://www.douyu.com/780824,https://rpic.douyucdn.cn/asrpic/220818/780824_1704.png/webpdy2
叫宝宝ovo,350267651,英雄联盟,《关注上车》聚窟洲夜莺厌食必备,301782,https://www.douyu.com/8372303,https://rpic.douyucdn.cn/asrpic/220818/8372303_1706.png/webpdy2
一只芒小桃,151875109,英雄联盟,【艾欧尼亚】有车位~,292432,https://www.douyu.com/9439230,https://rpic.douyucdn.cn/asrpic/220818/9439230_1706.png/webpdy2
阿瑶超甜,408819408,英雄联盟,艾欧尼亚大乱斗有车位呀！,290675,https://www.douyu.com/9765230,https://rpic.douyucdn.cn/asrpic/220818/9765230_1700.png/webpdy2
6309丶念情,185348,英雄联盟,双倍亲密度6309,287084,https://www.douyu.com/6309,https://rpic.douyucdn.cn/asrpic/220818/6309_1704.png/webpdy2
kane晕晕,98673494,英雄联盟,顶尖AD 学不会喷我,284170,https://www.douyu.com/1561711,https://rpic.douyucdn.cn/live-cover/roomCove_coverUpdate_2022-07-08_4516ae6e13b6c072c2b813cf11c88a3f.jpg/webpdy2
呆星QvQ,215108219,英雄联盟,电一，御姐娱乐上分车,281496,https://www.douyu.com/5790472,https://rpic.douyucdn.cn/asrpic/220818/5790472_1705.png/webpdy2
景天zxz,337053639,英雄联盟,景天:顶尖中单一区钻石教学,272007,https://www.douyu.com/9691350,https://rpic.douyucdn.cn/asrpic/220818/9691350_1700.png/webpdy2
漫声声i,428367325,英雄联盟,电一 峡谷甜御全能少女,271243,https://www.douyu.com/10333588,https://rpic.douyucdn.cn/asrpic/220818/10333588_1700.png/webpdy2
蕾拉小朋友,142153335,英雄联盟,电一艾欧尼亚-正直御姐能被宠爱吗？,266329,https://www.douyu.com/2227474,https://rpic.douyucdn.cn/asrpic/220818/2227474_1705.png/webpdy2
游是,40084148,英雄联盟,电1灵活全天车 请进,263285,https://www.douyu.com/2905166,https://rpic.douyucdn.cn/asrpic/220818/2905166_1705.png/webpdy2
小野纯Quinlivan,334817515,英雄联盟,艾欧尼亚~全能御姐,256488,https://www.douyu.com/7872244,https://rpic.douyucdn.cn/asrpic/220818/7872244_1706.png/webpdy2
甜雨n,81098666,英雄联盟,✿✿艾欧尼亚有位置哦~,248058,https://www.douyu.com/1503792,https://rpic.douyucdn.cn/live-cover/roomCove_coverUpdate_2022-08-17_e6eaaa5f8f04f78c8ee97b0f3a7af692.jpg/webpdy2
苏艾Niki,113066901,英雄联盟,少御音：电一甜妹在线等,244490,https://www.douyu.com/1766148,https://rpic.douyucdn.cn/asrpic/220818/1766148_1704.png/webpdy2
